country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
United States of America,"Tastes unnatural and manipulated, with sugary sweet orange and apricot jam fruit flavors, highlighted by uncomfortably sour acidity.",,82,26,California,Napa Valley,Frog's Leap 2010 Chardonnay (Napa Valley),Chardonnay,Frog's Leap,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,18,13.4,750,White,not_imported
United States of America,"Fairly simple in appeal, with candied, sweet and sour cherry flavors, like a cough drop. Tannic, too, hitting the palate with sandpapery astringency. But earns extra credit for dryness and a rich smoked meat note that makes it a partner for barbecue.",Poizin,87,25,California,Sonoma County,Armida 2009 Poizin Zinfandel (Sonoma County),Zinfandel,Armida,2009,"Sonoma County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.51108,-122.847339,27,42,14.5,750,Red,not_imported
United States of America,"An extremely fragrant, concentrated and rich Cabernet from Lake County's most promising red dirt. The wine opens with a heady air of blackberry jam and violets and tastes like cassis liqueur. It's well integrated, still a little dusty, finishing with flavors of mint chocolate. Ready to drink now, this Cab should be even better in 3–5 years.",,90,70,California,Red Hills Lake County,Fortress 2007 Cabernet Sauvignon (Red Hills Lake County),Cabernet Sauvignon,Fortress,2007,"Red Hills Lake County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,57,14.9,750,Red,not_imported
United States of America,"A bold take on a tough grape, this bottling, which also features 20% Roussanne and 3% Grenache Blanc, offers creamy and elegant lemon curd and the slightest touch of marshmallow on the nose, which is then cut by chalky minerality. The palate is oily yet sharp, with dried apple peel and walnut flavors.",Claudia Cuvee,88,35,California,Adelaida District,Alta Colina 2013 Claudia Cuvee Marsanne (Adelaida District),Marsanne,Alta Colina,2013,"Adelaida District,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,53,13.9,750,White,not_imported
Portugal,"Finely structured and with a good balance between acidity and ripe black fruits, this is a perfumed wine. It is densely textured, firm and keeping plenty of fruit. Drink this wine from 2017.",Quinto Elemento Reserva,89,30,Tejo,,Quinta do Arrobe 2012 Quinto Elemento Reserva Syrah (Tejo),Syrah,Quinta do Arrobe,2012,"Tejo,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,33,14,750,Red,Simoes Imports
Greece,"Honey, lemon and an herbal spin on the nose give this wine a distinctive start. Flavors of clean, zesty citrus and a spin of ripe melon add to the elegance. Easy to drink but elegant.",Demestica White,88,13,Peloponnese,,Achaia Clauss 2015 Demestica White Moschofilero (Peloponnese),Moschofilero,Achaia Clauss,2015,"Peloponnese,Greece",15.67276666,16.09409428,5.652146887,42.29539444,67.32253803,22.30290485,37.252854,22.232602,1023,35,12.5,750,White,"Stellar Importing Company, LLC"
United States of America,"You have to love the '07 vintage. This is drinking beautifully right now, though official release (September) is still a ways off. Rich and delicious, full-bodied and aromatic, with exotic barrel scents and a lovely mélange of chocolate, mocha, caramel and spice. But the fruit is the main story, and it's full, ripe and substantial—cherry and cassis, licorice and just a hint of leaf.",Red Wine,93,35,Washington,Columbia Valley (WA),Quilceda Creek 2007 Red Wine Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Quilceda Creek,2007,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,64,750,750,Red,not_imported
New Zealand,"From a veteran Marlborough producer, this is an interesting mix of sweetness, tartness and herbaceousness. A honeyed note doesn't quite mesh with the leafy, herbal overtones, while crisp acids come on strong on the finish.",,84,16,Marlborough,,Allan Scott 2009 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Allan Scott,2009,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,35,13,750,White,Allan Scott Wine & Estates
France,"Velvety textured and full in weight with moderate tannic presence, this wine is powerful while remaining immediately approachable. Black cherry, blueberry, menthol and iris aromas lead into the palate of stewed red berries, pepper and eucalyptus leaves. A lingering finish of muted thin mint closes beautifully.",Cuvée Tradition,88,13,Languedoc-Roussillon,Corbières,Chateau Les Palais 2004 Cuvee Tradition Red (Corbieres),Rhône-style Red Blend,Château Les Palais,2004,"Corbières,Languedoc-Roussillon,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,43.761377,5.749643,297,46,12.5,750,Red,IBESC Wine Distributor
United States of America,"Caramelized blackberries, black plum, lilacs and milk chocolate make for a nicely rounded nose. Baked blackberry and blueberry meet with vanilla and oak flavors on the palate, which is held up by solid tannins.",Serenade,92,32,California,Paso Robles,Opolo 2012 Serenade Cabernet Sauvignon-Malbec (Paso Robles),Cabernet Sauvignon-Malbec,Opolo,2012,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,34,14,750,Red,not_imported
